"","state_abbr","favor_dem","month","newcases_per100k_avg"
"368","MI",0,10,666.330648456462
"369","MI",0,11,1905.04718412147
"370","MI",1,3,68.7935063310322
"371","MI",1,4,293.270707323441
"372","MI",1,5,155.648646802373
"373","MI",1,6,71.7716336845856
"374","MI",1,7,175.544276892893
"375","MI",1,8,168.445143234259
"376","MI",1,9,285.649161797473
"377","MI",1,10,645.270436052859
"378","MI",1,11,1795.11096057137
"379","MN",0,3,9.44598771778317
"380","MN",0,4,88.152201125446
"381","MN",0,5,223.75568645069
"382","MN",0,6,160.200107373594
"383","MN",0,7,255.325999192433
"384","MN",0,8,283.202282897719
"385","MN",0,9,485.582807628019
"386","MN",0,10,1080.87622715128
"387","MN",0,11,3426.97951440325
"388","MN",1,3,10.4894830025232
"389","MN",1,4,62.8985043556605
"390","MN",1,5,196.714759107803
"391","MN",1,6,144.076918818023
"392","MN",1,7,238.125661811019
"393","MN",1,8,316.324098482445
"394","MN",1,9,310.947220105161
"395","MN",1,10,709.168606319427
"396","MN",1,11,2534.95799917423
"397","MS",1,3,42.7095863899901
"398","MS",1,4,275.801836077629
"399","MS",1,5,438.972157839716
"400","MS",1,6,515.78122228299
"401","MS",1,7,1471.59524456305
"402","MS",1,8,1326.1273062238
"403","MS",1,9,575.479187567826
"404","MS",1,10,643.409969299686
"405","MS",1,11,1024.47146091024
"406","MS",0,3,28.553233341791
"407","MS",0,4,226.039149338319
"408","MS",0,5,350.298426025829
"409","MS",0,6,405.436290298123
"410","MS",0,7,1055.08804762289
"411","MS",0,8,810.25701563283
"412","MS",0,9,541.920404629669
"413","MS",0,10,808.349738724726
"414","MS",0,11,1203.22816733335
"415","MO",0,3,8.97285067962346
"416","MO",0,4,40.7904544958109
"417","MO",0,5,54.3993981753836
"418","MO",0,6,105.297107808567
"419","MO",0,7,286.683957765916
"420","MO",0,8,449.568349729101
"421","MO",0,9,705.743730124285
"422","MO",0,10,1136.41395254872
"423","MO",0,11,2030.54776411887
"424","MO",1,3,43.9164253205405
"425","MO",1,4,158.699549302028
"426","MO",1,5,129.150432919344
"427","MO",1,6,132.887259348761
"428","MO",1,7,510.409103369786
"429","MO",1,8,586.095179642596
"430","MO",1,9,575.955672920941
"431","MO",1,10,638.854390619153
"432","MO",1,11,1662.67048444058
"433","MT",0,3,9.71727720869214
"434","MT",0,4,25.7100544717937
"435","MT",0,5,0.678306317768745
"436","MT",0,6,28.5739367437881
"437","MT",0,7,157.984680975095
"438","MT",0,8,282.265566591933
"439","MT",0,9,521.266393094601
"440","MT",0,10,2068.13504608323
"441","MT",0,11,2692.64283467339
"442","MT",1,3,22.9725872868326
"443","MT",1,4,25.4727550939042
"444","MT",1,5,33.4025502973362
"445","MT",1,6,96.8307759817784
"446","MT",1,7,499.629859723294
"447","MT",1,8,647.970050267124
"448","MT",1,9,969.349272445778
"449","MT",1,10,2638.17599185154
"450","MT",1,11,2818.2232538694
"451","NE",0,3,3.48595578349432
"452","NE",0,4,152.426435321321
"453","NE",0,5,280.443049902831
"454","NE",0,6,90.3565726918421
"455","NE",0,7,170.628212342387
"456","NE",0,8,279.687618543278
"457","NE",0,9,498.838000302904
"458","NE",0,10,1368.72261558659
"459","NE",0,11,2887.38824083084
"460","NE",1,3,8.69238707562607
"461","NE",1,4,86.3247623373833
"462","NE",1,5,461.191355974719
"463","NE",1,6,333.738216715585
"464","NE",1,7,480.774372018314
"465","NE",1,8,443.780823029729
"466","NE",1,9,639.808037044713
"467","NE",1,10,1082.25564838674
"468","NE",1,11,2640.79222701942
"469","NV",0,3,4.18901877477368
"470","NV",0,4,47.551103964648
"471","NV",0,5,53.1729206361741
"472","NV",0,6,68.6905973927498
"473","NV",0,7,178.533903595999
"474","NV",0,8,172.1361265902
"475","NV",0,9,155.784546304276
"476","NV",0,10,379.795353074379
"477","NV",0,11,1640.10188741952
"478","NV",1,3,31.9995810412993
"479","NV",1,4,148.343758089292
"480","NV",1,5,133.724616771681
"481","NV",1,6,300.545830619926
"482","NV",1,7,840.654116166148
"483","NV",1,8,619.353515974647
"484","NV",1,9,419.00672816227
"485","NV",1,10,762.956663201765
"486","NV",1,11,1935.47936435607
"487","NH",0,3,20.2244490741612
"488","NH",0,4,81.0332978673799
"489","NH",0,5,109.792848736064
"490","NH",0,6,55.6235962491015
"491","NH",0,7,51.3883166121882
"492","NH",0,8,38.53992474119
"493","NH",0,9,46.0019736068996
"494","NH",0,10,168.62069647312
"495","NH",0,11,657.330888015046
"496","NH",1,3,20.5879190085236
"497","NH",1,4,62.6747234225081
"498","NH",1,5,64.5606737695136
"499","NH",1,6,22.7341344803006
"500","NH",1,7,23.6832220056306
"501","NH",1,8,36.0478331633892
"502","NH",1,9,65.0196927473634
"503","NH",1,10,142.559827154928
"504","NH",1,11,516.823136326597
"505","NJ",1,3,147.407596240367
"506","NJ",1,4,1189.20576381002
"507","NJ",1,5,574.789215288052
"508","NJ",1,6,156.735427241347
"509","NJ",1,7,118.257223210518
"510","NJ",1,8,130.007466385562
"511","NJ",1,9,127.912878817897
"512","NJ",1,10,348.214387783195
"513","NJ",1,11,1171.732563206
"514","NJ",0,3,93.2273888091789
"515","NJ",0,4,601.019970912115
"516","NJ",0,5,330.879861619469
"517","NJ",0,6,112.381296470248
"518","NJ",0,7,106.41196460975
"519","NJ",0,8,113.280155982046
"520","NJ",0,9,169.304352524746
"521","NJ",0,10,265.402893366758
"522","NJ",0,11,823.791631695155
"523","NM",1,3,12.1748317629874
"524","NM",1,4,195.693473656646
"525","NM",1,5,215.431070727994
"526","NM",1,6,170.907089431198
"527","NM",1,7,295.354831006791
"528","NM",1,8,130.377645785301
"529","NM",1,9,116.460139219658
"530","NM",1,10,529.525964924202
"531","NM",1,11,1982.3145144898
"532","NM",0,3,4.65289912695749
"533","NM",0,4,58.9934014067139
"534","NM",0,5,78.3678793615561
"535","NM",0,6,161.552240440181
"536","NM",0,7,332.292057743048
"537","NM",0,8,259.584621416955
"538","NM",0,9,229.142955762468
"539","NM",0,10,724.027768937648
"540","NM",0,11,2127.52566748909
